# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
9.108339079600094E+09	-5.781619675373938E-01	-1.773752537509871E+02	-5.533591949325217E+01	1.277427730328690E+02	-5.537133070900996E+01	1.277299744319957E+02	-1.167446748885893E+00	1.777612577156799E+02	
9.126823378562799E+09	-6.066029924647868E-01	-1.777027439117137E+02	-5.536292630776764E+01	1.271375395325277E+02	-5.540178111360115E+01	1.270315750540518E+02	-1.196047323230003E+00	1.774559749290673E+02	
9.145345189228300E+09	-6.020275383719219E-01	-1.778019290300571E+02	-5.539336542765453E+01	1.267452712454011E+02	-5.542025813497750E+01	1.266203602061283E+02	-1.194370914471172E+00	1.774158833137979E+02	
9.163904587722090E+09	-5.882491008223185E-01	-1.774907390336608E+02	-5.540600394252095E+01	1.265753635038417E+02	-5.544193055236779E+01	1.263412142950487E+02	-1.187563916007816E+00	1.777608791602926E+02	
9.182501650324305E+09	-5.572016408697199E-01	-1.773356470590890E+02	-5.539648966481396E+01	1.260880716653181E+02	-5.543952794217962E+01	1.259752830494769E+02	-1.151526471698339E+00	1.779707286882321E+02	
9.201136453469730E+09	-5.409878968715108E-01	-1.775290526046374E+02	-5.539691440616291E+01	1.254543257148332E+02	-5.545253341038566E+01	1.252705246742847E+02	-1.156058226040094E+00	1.777839468868753E+02	
9.219809073748423E+09	-5.823896591911635E-01	-1.779121480906976E+02	-5.545520850509814E+01	1.245761974944346E+02	-5.549313816871236E+01	1.244142505644679E+02	-1.194321614588670E+00	1.774826602011391E+02	
9.238519587905712E+09	-5.767305286148360E-01	-1.777873946226562E+02	-5.548430766178182E+01	1.242835719833385E+02	-5.554948847461026E+01	1.241889345405830E+02	-1.193368785085573E+00	1.776569440023514E+02	
9.257268072842827E+09	-5.607550965311809E-01	-1.775270908673387E+02	-5.548224928194579E+01	1.241847603852433E+02	-5.553691186172984E+01	1.239360580923355E+02	-1.185335771976795E+00	1.779117693787694E+02	
9.276054605616909E+09	-5.382537553280623E-01	-1.775074576619076E+02	-5.549160548889722E+01	1.235032382654109E+02	-5.554400827586473E+01	1.233578167233387E+02	-1.170075326961310E+00	1.779057573525881E+02	
9.294879263441587E+09	-5.419795927289196E-01	-1.776434705261389E+02	-5.551956348962793E+01	1.226919126136013E+02	-5.554881322768414E+01	1.225248233340070E+02	-1.183048356547593E+00	1.777383127002938E+02	
9.313742123687191E+09	-5.954092361636925E-01	-1.778144569332101E+02	-5.557407599520556E+01	1.222421566152832E+02	-5.559169238420701E+01	1.219611603280414E+02	-1.235293461483232E+00	1.774861055160083E+02	
9.332643263880947E+09	-5.849388321312132E-01	-1.775810321599757E+02	-5.561320605559175E+01	1.220139490799967E+02	-5.565759145753853E+01	1.217515073069747E+02	-1.235329084346772E+00	1.776125069276799E+02	
9.351582761707569E+09	-5.845851448105394E-01	-1.775273200553631E+02	-5.562740960347934E+01	1.215837785243484E+02	-5.566134971319897E+01	1.213617513435011E+02	-1.232075213123806E+00	1.776031430625862E+02	
9.370560695009268E+09	-5.539896101239267E-01	-1.775954901426897E+02	-5.562711683277487E+01	1.208993845250866E+02	-5.565770770180175E+01	1.208810862433455E+02	-1.202693626417968E+00	1.774181002016466E+02	
